tipo_contrato,puesto,fuente,salario_promedio,empresa,tecnologias,fecha_publicacion,ubicacion
full_time,Junior Científico de Datos,Jooble,76958.0,No especificado,"Scala, Rust, R, AWS, AI, DevOps, CI/CD, REST, API, Excel",2025-05-14T06:50:17,Brazil
full_time,Lead Cloud Engineer,Adzuna,32135.0,No especificado,"Python, Go, TypeScript, R, React, Vue, MongoDB, AWS, Azure, GCP, Docker, Kubernetes, GitHub Actions, Terraform, AI, DevOps, CI/CD, REST, API, Frontend, Backend, SPA, Excel, Git, Linux",2025-05-14T02:52:18,"USA, Canada"
full_time,Senior Analista de Datos,Adzuna,76440.0,No especificado,"Python, JavaScript, Java, Go, Scala, Rust, R, SQL, React, Express, Google Cloud, GCP, Kubernetes, Terraform, AI, DevOps, REST, API, Frontend, Backend, SPA, Excel, Git",2025-05-13T16:50:14,India
full_time,Semi Senior Ingeniero de Software,Jooble,74928.0,No especificado,"Go, Scala, R, SQL, MySQL, PostgreSQL, MongoDB, Cassandra, AWS, Terraform, Ansible, AI, DevOps, CI/CD, API, SPA, Spark, Excel, Git, Linux",2025-05-09T20:50:59,USA
full_time,Senior Ingeniero de Software,Jooble,46232.0,No especificado,"Python, Java, Go, Scala, R, Spring, AI, REST, Microservices, API, Backend, SPA, Git",2025-05-09T02:50:14,USA
full_time,Senior Ingeniero DevOps,Adzuna,61510.0,No especificado,"Scala, Rust, R, AWS, GCP, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, API, Git, Linux",2025-05-08T04:50:22,Worldwide
full_time,Lead Analista de BI,Adzuna,25880.0,No especificado,"Go, TypeScript, Rust, R, GCP, Heroku, AI, REST, API, ETL, Excel, Git",2025-05-04T02:50:55,"Europe, USA, Canada"
full_time,Lead Analista de Datos,Adzuna,67206.0,No especificado,"Python, Java, Go, Scala, R, SQL, Express, MySQL, AWS, Jenkins, GitLab, AI, DevOps, API, SPA, Git",2025-05-03T20:50:42,Poland
full_time,Semi Senior Analista de Datos,Jooble,42451.0,No especificado,"Go, Scala, R, React, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, AI, DevOps, REST, API, SPA, Excel, Git",2025-04-28T06:51:07,USA
full_time,Senior Site Reliability Engineer,Adzuna,76363.0,No especificado,"Go, TypeScript, Scala, Rust, R, SQL, PostgreSQL, AWS, GCP, Kubernetes, Terraform, AI, DevOps, API, Git",2025-04-27T18:51:04,Europe
full_time,Senior Desarrollador Python,Adzuna,35775.0,No especificado,"Go, Scala, Rust, R, AWS, Google Cloud, Docker, Kubernetes, GitHub Actions, Terraform, Ansible, Machine Learning, AI, REST, API, Git, Linux",2025-04-22T10:50:37,USA
full_time,Senior Ingeniero de Software,Adzuna,49143.0,No especificado,"Python, Swift, Scala, R, SQL, Express, MySQL, PostgreSQL, AWS, Azure, GCP, Docker, Kubernetes, Terraform, Ansible, AI, CI/CD, API",2025-04-18T06:51:21,USA
full_time,Junior Ingeniero de Machine Learning,Adzuna,57952.0,No especificado,"Go, Scala, R, SQL, Express, MySQL, AWS, Kubernetes, Jenkins, GitLab, AI, DevOps, API, SPA, Git",2025-04-05T18:50:51,Poland
full_time,Senior Ingeniero en IA,Jooble,31102.0,No especificado,"Python, Go, Scala, R, AWS, Azure, GCP, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, CI/CD, API, SPA, Linux",2025-03-28T02:51:52,"USA, UK, Canada, Germany, France, Spain"
full_time,Senior Desarrollador .NET,Adzuna,68165.0,No especificado,"Python, Java, C#, Go, Ruby, Rust, R, Express, Neo4j, AWS, Azure, GCP, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, CI/CD, REST, API, SPA, Excel",2025-03-28T02:51:50,USA
full_time,Senior Desarrollador React,Adzuna,69696.0,No especificado,"Python, Java, Go, Scala, Rust, R, AWS, Azure, Google Cloud, GCP, Docker, Kubernetes, AI, DevOps, CI/CD, Microservices, API, Frontend, Backend, SPA, Spark, Excel, Git",2025-03-25T16:50:21,Netherlands
full_time,Semi Senior Especialista DevSecOps,Adzuna,68988.0,No especificado,"Python, Java, Go, Rust, R, SQL, AWS, AI, Agile, API, SPA, ETL, Spark",2025-05-31T04:50:49,USA
,Python developer,Jooble,53599.0,,,,
,Junior Desarrollador Blockchain,Adzuna,65802.0,IGT,,2025-06-11T07:33:31.4670000,Kingdom of Spain
,Lead Especialista en UX/UI,Jooble,41358.0,IGT,,2025-06-02T20:52:59.4930000,Kingdom of Spain
,Semi Senior Científico de Datos,Jooble,41435.0,IGT,,2025-05-27T08:47:37.6170000,Kingdom of Spain
,Senior Desarrollador Java,Adzuna,47001.0,IGT,,2025-05-25T00:00:00.0000000,Kingdom of Spain
,Semi Senior Scrum Master,Adzuna,60778.0,Heap,,2025-05-22T23:28:40.6070632+00:00,Kingdom of Spain
,Junior Ingeniero DevOps,Jooble,67898.0,SpotOn Connections,,2025-06-16T16:00:44.7330000,Kingdom of Spain
,Semi Senior Ingeniero de Software,Jooble,43655.0,Heap,,2025-05-31T04:44:17.1317421+00:00,Kingdom of Spain
,Lead Ingeniero de QA,Jooble,27178.0,Heap,,2025-06-09T07:54:29.1770000,Kingdom of Spain
,Semi Senior Scrum Master,Adzuna,26964.0,Jet Aviation,,2025-06-06T19:31:52.6830000,Kingdom of Spain
,Semi Senior Desarrollador Blockchain,Adzuna,28781.0,First Health Care of Puerto Rico,,2025-05-30T08:09:38.8645890+00:00,Kingdom of Spain
,Semi Senior Especialista en UX/UI,Jooble,49487.0,,,2025-06-18T13:40:28.9378095+00:00,Kingdom of Spain
,Senior Scrum Master,Adzuna,43657.0,Hasbro,,2025-05-27T00:00:00.0000000,Kingdom of Spain
,Junior Desarrollador Blockchain,Adzuna,34886.0,IGT,,2025-06-10T07:33:38.1330000,Kingdom of Spain
,Junior Administrador de Bases de Datos,Adzuna,69107.0,,,2025-05-16T14:34:00.3240843+00:00,Kingdom of Spain
,Semi Senior Scrum Master,Adzuna,48059.0,,,2025-06-13T05:13:20.1930000,Kingdom of Spain
,Junior Administrador de Sistemas,Jooble,70243.0,Jet Aviation,,2025-06-09T00:00:00.0000000,Kingdom of Spain
,Junior Desarrollador Backend,Adzuna,52090.0,IGT,,2025-05-23T00:00:00.0000000,Kingdom of Spain
,Junior Analista de BI,Adzuna,60775.0,Jet Aviation,,2025-05-29T00:00:00.0000000,Kingdom of Spain
,Junior Ingeniero DevOps,Adzuna,31881.0,IGT,,2025-06-13T00:00:00.0000000,Kingdom of Spain
,Lead Desarrollador Full Stack,Adzuna,37324.0,Teva Pharmaceutical Industries Ltd.,,2025-05-29T07:24:41.9904889+00:00,Kingdom of Spain
,Junior Científico de Datos,Adzuna,45291.0,First Health Care of Puerto Rico,,2025-06-17T12:02:36.1670000,Kingdom of Spain
,Senior Ingeniero de Software,Jooble,76191.0,Avincis,,2025-06-07T00:00:00.0000000,Kingdom of Spain
,Senior Cloud Engineer,Adzuna,47268.0,Heap,,2025-05-24T04:44:24.3173272+00:00,Kingdom of Spain
part_time,Senior Ingeniero en IA,Jooble,65570.0,No especificado,"Python, JavaScript, Java, Go, R, SQL, React, Vue, Django, Flask, PostgreSQL, MongoDB, AWS, Azure, Docker, AI, REST, API, Backend, SPA, Excel, Git",2025-05-31T04:50:50,Germany
full_time,Senior Scrum Master,Jooble,55198.0,No especificado,"Python, Go, Scala, R, AWS, Docker, Kubernetes, GitHub Actions, Terraform, AI, CI/CD, API, Backend, Git, Linux",2025-04-18T12:50:58,USA
full_time,Lead Especialista en UX/UI,Jooble,59420.0,No especificado,"Python, Scala, R, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, DevOps, CI/CD, API, SPA",2025-04-14T06:51:03,Worldwide
full_time,Senior Product Owner,Adzuna,50716.0,No especificado,"Python, Go, R, SQL, AI, API, SPA, Tableau, Looker",2025-06-16T12:51:36,Europe
full_time,Junior Ingeniero de Machine Learning,Adzuna,29666.0,No especificado,"Python, R, SQL, AI, API, SPA, Tableau, Power BI, Excel, Git",2025-06-16T12:51:34,USA
full_time,Semi Senior Especialista DevSecOps,Jooble,32251.0,No especificado,"Scala, R, AI, API, SPA, Spark, Excel",2025-06-15T10:51:50,USA
full_time,Junior Administrador de Bases de Datos,Adzuna,69394.0,No especificado,"Go, TypeScript, R, SQL, React, Express, PostgreSQL, AWS, AI, GraphQL, API, Frontend, Backend",2025-06-15T10:50:51,USA
full_time,Junior Cloud Engineer,Adzuna,37777.0,No especificado,"Python, Java, C++, Go, R, SQL, MongoDB, Cassandra, Machine Learning, AI, Deep Learning, REST, API, SPA, Hadoop, Spark, Excel",2025-06-14T14:50:47,"Northern America, Americas, Europe"
full_time,Lead Arquitecto de Software,Adzuna,61834.0,No especificado,"Go, Rust, R, AI, API, SPA",2025-06-11T18:50:34,UK
full_time,Lead Administrador AWS,Jooble,26523.0,No especificado,"Go, Rust, R, Machine Learning, AI, API, SPA, Git",2025-06-10T22:51:26,USA
full_time,Semi Senior Ingeniero de Machine Learning,Adzuna,42307.0,No especificado,"Python, Go, TypeScript, Rust, R, React, Django, Express, FastAPI, AWS, Azure, GCP, Docker, Kubernetes, AI, DevOps, API, Backend, Excel",2025-06-10T18:50:39,USA
full_time,Junior Desarrollador Frontend,Adzuna,57419.0,No especificado,"Python, Java, Scala, R, AWS, Azure, GCP, Machine Learning, AI, DevOps, API",2025-06-10T00:50:49,USA
full_time,Semi Senior Analista de BI,Jooble,33501.0,No especificado,"Python, Go, R, Machine Learning, AI, API, SPA",2025-06-09T10:29:12,European timezones
full_time,Semi Senior Especialista en UX/UI,Jooble,41099.0,No especificado,"Python, JavaScript, Java, C#, Go, Scala, R, SQL, Neo4j, AWS, Azure, Jenkins, Terraform, AI, DevOps, CI/CD, Agile, API, SPA, ETL, Excel, Git",2025-06-09T08:50:26,USA
full_time,Lead Site Reliability Engineer,Jooble,27194.0,No especificado,"Go, Scala, R, AI, Agile, API, SPA, Excel",2025-06-08T10:50:44,USA
full_time,Lead Ingeniero DevOps,Adzuna,72851.0,No especificado,"Python, Java, Go, Scala, R, SQL, React, AWS, Azure, GCP, Machine Learning, AI, API, SPA, ETL, Spark, Excel, Git",2025-06-07T20:50:40,USA
full_time,Junior Desarrollador Java,Jooble,36146.0,No especificado,"Python, Java, Go, Scala, R, AWS, Docker, Terraform, Machine Learning, AI, CI/CD, REST, API, SPA, Excel, Git",2025-06-06T20:50:29,USA
full_time,Lead Ingeniero de Software,Adzuna,64000.0,No especificado,"Go, Rust, R, AI, API, SPA, Excel, Git",2025-06-04T00:50:59,USA
full_time,Junior Administrador de Bases de Datos,Jooble,68093.0,No especificado,"Go, Rust, R, AI, API, SPA, Excel",2025-06-03T00:50:52,USA
full_time,Lead Desarrollador Full Stack,Jooble,71980.0,No especificado,"Go, Scala, Rust, R, Express, AI, API, SPA, Git",2025-06-01T22:50:48,Brazil
full_time,Lead Ingeniero de Redes,Adzuna,70809.0,No especificado,"Python, Go, R, SQL, Vue, Express, FastAPI, PostgreSQL, Redis, AWS, Docker, Kubernetes, AI, CI/CD, REST, Microservices, API, Backend, SPA, ETL, Spark, Git",2025-06-01T14:50:48,USA
full_time,Lead Desarrollador Backend,Jooble,55962.0,No especificado,"Python, Go, Scala, R, AWS, GCP, Docker, Kubernetes, Jenkins, GitLab, Terraform, AI, CI/CD, REST, API, SPA, Excel, Git",2025-06-01T06:51:33,USA
full_time,Senior Desarrollador React,Adzuna,71769.0,No especificado,"Python, Go, R, SQL, Express, AWS, Machine Learning, AI, Agile, API, SPA, Spark, Excel",2025-05-31T22:50:21,Poland
full_time,Junior Cloud Engineer,Adzuna,74410.0,No especificado,"Python, Go, Scala, R, SQL, Machine Learning, AI, API, SPA, ETL, Excel",2025-05-31T00:50:39,USA
full_time,Junior Administrador de Bases de Datos,Adzuna,53156.0,No especificado,"Go, Ruby, R, Rails, AWS, AI, DevOps, Agile, API, Frontend, Backend, SPA, Git",2025-05-30T20:30:49,Worldwide
contract,Junior Administrador AWS,Jooble,55431.0,No especificado,"Python, Go, Scala, R, SQL, AWS, Azure, Google Cloud, Docker, Terraform, AI, DevOps, API, SPA, ETL, Spark, Excel",2025-05-28T22:50:18,Colombia
full_time,Junior Ingeniero de Redes,Adzuna,29469.0,No especificado,"Python, Go, Scala, R, SQL, Google Cloud, GCP, Machine Learning, AI, REST, API, Excel",2025-05-27T14:51:01,USA
full_time,Senior Administrador de Bases de Datos,Adzuna,44145.0,No especificado,"Python, Go, TypeScript, Scala, R, React, Express, Kubernetes, GitHub Actions, Machine Learning, AI, CI/CD, Agile, REST, API, UI/UX, Full Stack, SPA, Excel, Git",2025-05-27T10:50:50,USA
full_time,Junior Cloud Engineer,Adzuna,45653.0,No especificado,"Python, Go, Swift, Scala, Rust, R, SQL, AWS, Azure, GCP, Kubernetes, GitHub Actions, Terraform, Machine Learning, AI, DevOps, CI/CD, REST, API, SPA, ETL, Spark, Excel, Git",2025-05-26T14:50:12,USA
full_time,Semi Senior Desarrollador React,Adzuna,26014.0,No especificado,"Go, R, AI, REST, API, SPA",2025-05-26T04:50:50,USA
full_time,Junior Cloud Engineer,Jooble,57542.0,No especificado,"Go, R, AI, API, SPA",2025-05-24T22:51:02,USA
full_time,Senior Científico de Datos,Adzuna,78955.0,No especificado,"Python, Go, Scala, Rust, R, SQL, AI, REST, API, SPA, Tableau, Looker, Git",2025-05-23T06:50:46,USA
full_time,Semi Senior Desarrollador Python,Adzuna,41607.0,No especificado,"Python, Go, R, SQL, Machine Learning, AI, API, SPA, Excel",2025-05-22T02:50:27,Spain
full_time,Senior Ingeniero de Machine Learning,Jooble,29172.0,No especificado,"Python, R, Machine Learning, AI, REST, API",2025-05-22T02:50:25,Ireland
full_time,Semi Senior Ingeniero de Machine Learning,Jooble,36982.0,No especificado,"Python, Go, Scala, Rust, R, SQL, Express, MongoDB, AWS, Google Cloud, Docker, Kubernetes, Machine Learning, AI, CI/CD, Agile, API, SPA, ETL",2025-05-21T10:50:08,UK
full_time,Junior Administrador de Bases de Datos,Jooble,50054.0,No especificado,"Python, Scala, R, SQL, AWS, Kubernetes, Terraform, Machine Learning, AI, CI/CD, API, SPA, Spark, Git",2025-05-21T00:50:48,"Argentina, Mexico, Dominican Republic"
full_time,Lead Desarrollador Full Stack,Jooble,40381.0,No especificado,"Python, Go, R, SQL, AWS, AI, API, Full Stack, SPA",2025-05-17T02:50:18,USA
full_time,Semi Senior Ingeniero DevOps,Jooble,40895.0,No especificado,"Python, Scala, R, SQL, AWS, Docker, Kubernetes, Terraform, Machine Learning, AI, CI/CD, Agile, API, Excel",2025-05-14T18:50:50,USA
contract,Junior Ingeniero DevOps,Adzuna,37201.0,No especificado,"Python, C#, Scala, R, SQL, Docker, AI, API, SPA, Excel",2025-05-11T02:50:06,Poland
full_time,Semi Senior Desarrollador Frontend,Adzuna,37461.0,No especificado,"Python, JavaScript, Java, Go, Swift, Kotlin, R, React, Express, jQuery, Machine Learning, AI, REST, API, SPA, Excel",2025-05-07T00:50:54,Americas
full_time,Semi Senior Cloud Engineer,Adzuna,35844.0,No especificado,"Python, Go, TypeScript, Scala, R, React, FastAPI, AWS, Docker, Kubernetes, Machine Learning, AI, CI/CD, API, UI/UX, Frontend, Backend, SPA, Git",2025-05-06T20:51:05,"Europe, USA, Canada"
full_time,Senior Desarrollador React,Jooble,53543.0,No especificado,"JavaScript, Java, Ruby, Scala, R, React, Angular, Rails, AI, Agile, API, Full Stack",2025-05-04T10:50:40,Canada
contract,Junior Technical Lead,Jooble,53716.0,No especificado,"Go, Rust, R, AI, API",2025-05-02T22:50:30,Poland
full_time,Semi Senior Analista de Datos,Jooble,52840.0,No especificado,"Python, Scala, R, SQL, AWS, Machine Learning, AI, REST, API, SPA, ETL",2025-04-29T02:51:16,USA
full_time,Senior Desarrollador Blockchain,Jooble,26435.0,No especificado,"Python, Go, Rust, R, SQL, Flask, Express, PostgreSQL, Redis, Elasticsearch, Machine Learning, AI, Agile, REST, API, SPA",2025-04-18T04:50:16,USA
full_time,Lead Analista de Datos,Adzuna,46863.0,No especificado,"Go, R, Kubernetes, Machine Learning, AI, REST, API, SPA, Spark",2025-04-14T10:51:10,USA
full_time,Junior Especialista en UX/UI,Adzuna,79191.0,No especificado,"Go, R, Neo4j, AI, Agile, Scrum, REST, API, SPA, Excel, JIRA, Confluence",2025-04-12T18:50:43,India
full_time,Senior Analista de BI,Adzuna,70797.0,No especificado,"Python, JavaScript, Java, PHP, Go, Scala, R, SQL, AI, API, ETL, Tableau, Looker, Git",2025-04-08T02:51:08,Worldwide
full_time,Semi Senior Especialista en UX/UI,Adzuna,75426.0,No especificado,"Go, R, AI, API, SPA, Excel",2025-04-03T18:51:29,USA
full_time,Senior Technical Lead,Adzuna,49221.0,No especificado,"Python, Go, Scala, R, Express, AWS, Docker, Kubernetes, Jenkins, GitLab, Terraform, Machine Learning, AI, DevOps, CI/CD, Microservices, API, SPA, Excel, Git",2025-04-03T00:50:47,USA
full_time,Semi Senior Desarrollador Java,Adzuna,49981.0,No especificado,"Python, Go, Rust, R, SQL, Machine Learning, AI, API, SPA, ETL, Excel",2025-04-02T16:50:42,USA
full_time,Junior Ingeniero de Machine Learning,Jooble,51586.0,No especificado,"Python, Go, Scala, R, Machine Learning, AI, Microservices, API, Backend, SPA",2025-04-01T14:50:49,USA
full_time,Junior Product Owner,Jooble,53239.0,No especificado,"Python, Go, Scala, R, React, Express, AWS, Terraform, Machine Learning, AI, API, SPA, Excel",2025-03-24T04:50:18,USA
full_time,Lead Desarrollador Mobile,Jooble,38189.0,No especificado,"Python, Go, Swift, R, SQL, Vue, Machine Learning, AI, REST, API, SPA, JIRA",2025-03-23T02:51:00,USA
full_time,Lead Desarrollador Java,Adzuna,32937.0,No especificado,"JavaScript, Java, Go, R, React, Machine Learning, AI, REST, API, Frontend, Backend, SPA, Git",2025-06-17T12:50:41,"Europe, South America"
full_time,Semi Senior Científico de Datos,Adzuna,60558.0,No especificado,"JavaScript, Java, C++, Go, Kotlin, Rust, R, Express, Redis, AWS, AI, API, SPA, Excel",2025-06-17T12:50:37,France
full_time,Junior Especialista en Ciberseguridad,Jooble,59509.0,No especificado,"JavaScript, Java, Go, Scala, R, SQL, React, Angular, Spring, MySQL, PostgreSQL, MongoDB, Redis, Azure, AI, Agile, REST, Microservices, API, Frontend, Backend, Excel, JIRA, Confluence, Git",2025-06-16T10:50:44,India
full_time,Semi Senior Desarrollador Backend,Jooble,50486.0,No especificado,"Rust, R, AWS, Kubernetes, Terraform, Machine Learning, AI, DevOps, API, SPA, Tableau",2025-06-15T10:52:07,USA
full_time,Senior Administrador AWS,Adzuna,42784.0,No especificado,"JavaScript, Java, Go, R, Express, MongoDB, AWS, Kubernetes, AI, REST, API, Frontend, Backend, SPA, Git",2025-06-14T14:50:46,USA
full_time,Lead Cloud Engineer,Jooble,37117.0,No especificado,"Go, R, AWS, Machine Learning, AI, API",2025-06-13T12:51:28,Egypt
full_time,Junior Desarrollador .NET,Jooble,40045.0,No especificado,"Python, JavaScript, Java, C#, Go, Scala, R, SQL, Express, AWS, Azure, GCP, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, CI/CD, Microservices, API, SPA, Excel, Git",2025-06-13T12:50:54,Costa Rica
full_time,Junior Desarrollador Backend,Jooble,38301.0,No especificado,"Python, JavaScript, Java, Go, Ruby, TypeScript, Scala, R, Express, Rails, Redis, AWS, AI, CI/CD, API, SPA, TDD, Excel",2025-06-13T12:50:52,Canada
full_time,Lead Site Reliability Engineer,Jooble,49840.0,No especificado,"Swift, Scala, Rust, R, SQL, Elasticsearch, AWS, AI, REST, Microservices, API, Backend, Excel, Git",2025-06-13T08:51:08,Brazil
full_time,Semi Senior Especialista en UX/UI,Jooble,74416.0,No especificado,"Go, Scala, R, AWS, GCP, Docker, Kubernetes, Machine Learning, AI, API, Backend, SPA",2025-06-13T04:51:02,USA
full_time,Junior Desarrollador Backend,Jooble,50677.0,No especificado,"JavaScript, Java, Go, TypeScript, Scala, R, React, AWS, GitHub Actions, Terraform, AI, DevOps, CI/CD, Agile, Microservices, API, Backend, Excel, Git",2025-06-12T10:50:50,Philippines
full_time,Senior Desarrollador Backend,Adzuna,43898.0,No especificado,"Python, Java, PHP, Go, Rust, R, AI, Agile, Scrum, API, Excel, Git, Linux",2025-06-11T10:50:44,Greece
full_time,Senior Ingeniero de Machine Learning,Adzuna,78829.0,No especificado,"Python, Java, C#, C++, Go, R, MongoDB, Redis, AWS, AI, DevOps, Agile, REST, Microservices, API, Excel",2025-06-11T10:50:40,Germany
full_time,Lead Desarrollador Python,Adzuna,34921.0,No especificado,"Go, Ruby, Scala, Rust, R, React, Rails, AWS, Azure, Kubernetes, Terraform, Ansible, AI, REST, API, Frontend, Backend, SPA",2025-06-10T08:51:17,Europe
internship,Junior Ingeniero de QA,Jooble,54012.0,No especificado,"Python, Java, Go, Scala, R, Express, AWS, AI, Agile, API, Excel",2025-06-10T08:50:55,USA
full_time,Lead Desarrollador Blockchain,Adzuna,64720.0,No especificado,"Go, Scala, Rust, R, AI, DevOps, REST, API, JSON, Backend, SPA, Excel",2025-06-10T08:50:54,USA
full_time,Junior Scrum Master,Jooble,62876.0,No especificado,"Go, Ruby, Scala, R, React, Rails, AWS, AI, REST, API, Frontend, Backend, SPA",2025-06-10T08:50:53,USA
full_time,Lead Analista de BI,Jooble,60203.0,No especificado,"Go, R, Kubernetes, AI, API, SPA, Linux, Windows",2025-06-10T08:50:53,Turkey
full_time,Semi Senior Ingeniero de Software,Adzuna,70141.0,No especificado,"JavaScript, Java, C#, Go, Scala, Rust, R, Kubernetes, AI, DevOps, API, Git",2025-06-09T16:51:19,Canada
full_time,Junior Scrum Master,Adzuna,74357.0,No especificado,"Go, Rust, R, Express, AI, REST, API, SPA, Git",2025-06-09T14:50:44,Portugal
full_time,Senior Desarrollador .NET,Jooble,34582.0,No especificado,"Python, Scala, Rust, R, Docker, Kubernetes, Machine Learning, AI, DevOps, CI/CD, API, Backend, Excel, Git",2025-06-09T08:50:26,USA
full_time,Lead Desarrollador Mobile,Jooble,46990.0,No especificado,"Python, Java, Go, R, SQL, MySQL, PostgreSQL, MongoDB, Docker, Jenkins, GitLab, AI, DevOps, CI/CD, REST, API, SPA, Excel, Git",2025-06-09T06:51:16,Singapore
full_time,Lead Product Owner,Adzuna,46391.0,No especificado,"Python, Go, Scala, Rust, R, Express, AWS, Docker, AI, API, SPA, Linux, Windows",2025-06-08T04:51:33,"USA, UK, Canada, Germany, France, India, Brazil, Australia, Estonia, Japan, Portugal, Sweden, Greece, Belgium, Hungary, Poland, South Africa, Ireland, Switzerland, Netherlands, Argentina, Finland, Malta, Singapore, Romania, Bulgaria, Czech Republic, Croatia, Israel, Spain, Mexico, Austria, Iceland, Slovakia, Cyprus, Kyrgyzstan, Latvia, Uruguay"
full_time,Lead Desarrollador Frontend,Jooble,26172.0,No especificado,"Java, C#, PHP, Go, Scala, R, SQL, MySQL, Redis, MariaDB, Kubernetes, Terraform, AI, DevOps, API, Backend, Excel",2025-06-07T04:50:29,Canada
full_time,Senior Administrador AWS,Adzuna,77985.0,No especificado,"Go, Rust, R, Spring, AWS, Docker, AI, CI/CD, API, Excel, Git",2025-06-07T00:50:52,Northern America
full_time,Junior Administrador AWS,Adzuna,55609.0,No especificado,"Python, Go, Scala, R, AWS, Azure, Jenkins, GitHub Actions, Terraform, Ansible, AI, DevOps, CI/CD, Agile, API, SPA, Excel, Git",2025-06-06T22:50:57,USA
full_time,Senior Scrum Master,Adzuna,28768.0,No especificado,"Python, Go, Scala, R, SQL, Express, AI, DevOps, Agile, REST, API, Backend, Excel",2025-06-06T22:50:31,USA
full_time,Senior Especialista en Ciberseguridad,Adzuna,29241.0,No especificado,"Python, Go, TypeScript, Scala, R, SQL, React, Django, MySQL, AWS, AI, REST, API, Frontend, Backend, Full Stack, SPA, Excel",2025-06-06T20:50:28,USA
full_time,Semi Senior Ingeniero de Redes,Adzuna,31807.0,No especificado,"Python, Go, Rust, R, AWS, Azure, Docker, Kubernetes, Terraform, Ansible, Machine Learning, AI, DevOps, CI/CD, REST, API, SPA, Excel, Git, Linux, Windows",2025-06-05T20:50:54,USA
full_time,Senior Scrum Master,Jooble,78041.0,No especificado,"Java, Go, Scala, R, SQL, Express, AWS, AI, REST, API, SPA, Linux",2025-06-05T20:50:34,USA
full_time,Semi Senior Ingeniero DevOps,Adzuna,62731.0,No especificado,"Python, Go, R, SQL, Machine Learning, AI, REST, API, Excel",2025-06-05T20:50:34,India
full_time,Senior Desarrollador Blockchain,Adzuna,54497.0,No especificado,"Go, Scala, R, Express, AWS, AI, Agile, API, SPA, Excel",2025-06-05T14:50:10,USA
full_time,Lead Desarrollador Java,Jooble,73307.0,No especificado,"Python, JavaScript, Java, C#, C++, Go, Ruby, Scala, Rust, R, SQL, React, Angular, Django, Rails, MySQL, SQL Server, AWS, Docker, Jenkins, GitHub Actions, AI, CI/CD, API, Excel, Git",2025-06-05T12:50:43,"USA, Canada, India"
full_time,Lead Administrador de Bases de Datos,Jooble,32114.0,No especificado,"Go, Scala, R, SQL, AWS, Azure, GCP, AI, REST, API, Backend, SPA, Spark, Linux",2025-06-05T02:50:22,USA
full_time,Senior Arquitecto de Software,Adzuna,77368.0,No especificado,"Go, Ruby, Scala, Rust, R, SQL, React, Rails, AI, API, Backend, Excel",2025-06-04T18:51:05,India
full_time,Lead Ingeniero de Machine Learning,Jooble,63611.0,No especificado,"Python, Go, R, Express, Machine Learning, AI, API, SPA, Excel",2025-06-02T06:50:59,USA
full_time,Lead Científico de Datos,Adzuna,52728.0,No especificado,"Python, Java, Go, Scala, R, SQL, MySQL, Redis, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, CI/CD, REST, Microservices, API, SPA, Excel",2025-06-01T22:50:47,India
full_time,Lead Ingeniero de Redes,Jooble,61482.0,No especificado,"Python, JavaScript, Java, Ruby, R, AI, Agile, REST, API, SPA",2025-06-01T04:51:15,Canada
internship,Lead Especialista en UX/UI,Adzuna,77531.0,No especificado,"Python, Java, C++, Go, R, Spring, Machine Learning, AI, REST, API, SPA, Spark, Excel",2025-06-01T04:51:13,Canada
contract,Junior Desarrollador Frontend,Adzuna,28937.0,No especificado,"Go, Rust, R, Express, AI, REST, API, Excel",2025-05-31T12:51:06,USA
full_time,Senior Arquitecto de Software,Jooble,29201.0,No especificado,"Python, Go, Scala, R, Next.js, FastAPI, AWS, Docker, Jenkins, GitHub Actions, Terraform, Machine Learning, AI, CI/CD, REST, API, Frontend, Backend, Excel, Git",2025-05-30T20:50:21,Germany
full_time,Semi Senior Desarrollador Frontend,Adzuna,79765.0,No especificado,"Go, R, Google Cloud, Docker, Kubernetes, GitLab, Machine Learning, AI, Deep Learning, CI/CD, API, SPA, ETL, Git, Linux",2025-05-30T02:51:51,Switzerland
full_time,Lead Analista de Datos,Adzuna,68029.0,No especificado,"Go, Scala, Rust, R, Express, AWS, AI, DevOps, API, SPA, Excel, JIRA",2025-05-30T02:51:24,USA
full_time,Lead Desarrollador React,Adzuna,66719.0,No especificado,"Go, Scala, R, Express, Flutter, AI, Agile, REST, Microservices, API, Backend, SPA, Git",2025-05-30T02:50:46,USA
full_time,Lead Ingeniero de Redes,Jooble,33648.0,No especificado,"Python, JavaScript, Java, Go, Scala, R, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, DevOps, CI/CD, Microservices, API, Git",2025-05-29T18:50:21,Portugal
full_time,Junior Administrador de Sistemas,Adzuna,35492.0,No especificado,"Python, Go, Kotlin, Scala, R, AWS, Kubernetes, Jenkins, GitHub Actions, Terraform, Ansible, AI, DevOps, CI/CD, REST, API, SPA, Excel, Git",2025-05-29T00:50:21,LATAM
