titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,experiencia,nivel,descripcion,requisitos,tecnologias,url,fecha_extraccion
Desarrollador/a Next.js Lead,DigitalWave,Barcelona,18/04/2025,Temporal,Parcial (tardes),50000 - 74000 € Bruto/año,50000.0,74000.0,8-12 años,Lead,"Empresa líder en el sector tecnológico busca Lead programador/a con conocimientos de TypeScript, Flask, Flutter para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 8-12 años con TypeScript
- Conocimientos de Flask
- Conocimientos de Flutter
- Conocimientos de Pandas
- Capacidad analítica
- Empatía
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Flask, Flutter, Pandas, Cassandra, BigQuery, Jenkins, AWS, SonarQube","['TypeScript', 'Flask', 'Flutter', 'Pandas', 'Cassandra', 'BigQuery', 'Jenkins', 'AWS', 'SonarQube']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Database Administrator Staff,NetArchitects,Alicante,15/05/2025,Prácticas,Parcial (tardes),64000 - 85000 € Bruto/año,64000.0,85000.0,10-15 años,Staff,"Empresa líder en el sector tecnológico busca Staff programador/a con conocimientos de Kotlin, FastAPI, Spring Boot para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 10-15 años con Kotlin
- Conocimientos de FastAPI
- Conocimientos de Spring Boot
- Conocimientos de MariaDB
- Trabajo en equipo
- Metodologías ágiles
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, FastAPI, Spring Boot, MariaDB, Jenkins, Prometheus, Ansible","['Kotlin', 'FastAPI', 'Spring Boot', 'MariaDB', 'Jenkins', 'Prometheus', 'Ansible']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Mobile Developer C# Senior,ByteLogic,Barcelona,14/05/2025,Por obra y servicio,Turnos rotativos,39000 - 62000 € Bruto/año,39000.0,62000.0,4-8 años,Senior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Senior especialista en C#, Flask, Vue.js. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 4-8 años con C#
- Conocimientos de Flask
- Conocimientos de Vue.js
- Conocimientos de SQLite
- Empatía
- Resolución de problemas
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C#, Flask, Vue.js, SQLite, BigQuery, GitHub Actions, AWS","['C#', 'Flask', 'Vue.js', 'SQLite', 'BigQuery', 'GitHub Actions', 'AWS']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Full Stack Developer Junior,PixelWave,Híbrido (Barcelona),30/04/2025,Formativo,Flexible,19000 - 28000 € Bruto/año,19000.0,28000.0,0-2 años,Junior,"Buscamos un Junior desarrollador/a con experiencia en R, React, Neo4j para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 0-2 años con R
- Conocimientos de React
- Conocimientos de Neo4j
- Conocimientos de BigQuery
- Empatía
- Pensamiento crítico
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, React, Neo4j, BigQuery, Terraform, Git","['R', 'React', 'Neo4j', 'BigQuery', 'Terraform', 'Git']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Ingeniero/a de Software Junior,InnovateTech,Las Palmas,13/05/2025,Por obra y servicio,Parcial (tardes),20000 - 30000 € Bruto/año,20000.0,30000.0,0-2 años,Junior,"Buscamos un Junior desarrollador/a con experiencia en PHP, Spring Boot, InfluxDB para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 0-2 años con PHP
- Conocimientos de Spring Boot
- Conocimientos de InfluxDB
- Conocimientos de MariaDB
- Kanban
- Trabajo en equipo
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Spring Boot, InfluxDB, MariaDB, GitHub Actions","['PHP', 'Spring Boot', 'InfluxDB', 'MariaDB', 'GitHub Actions']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Ingeniero/a DevOps Staff,NetArchitects,Híbrido (Barcelona),15/05/2025,Por obra y servicio,Por horas,63000 - 84000 € Bruto/año,63000.0,84000.0,10-15 años,Staff,"¿Buscas un nuevo desafío profesional? Necesitamos un Staff ingeniero/a con experiencia en Python, ASP.NET, Next.js para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 10-15 años con Python
- Conocimientos de ASP.NET
- Conocimientos de Next.js
- Conocimientos de Symfony
- Creatividad
- Liderazgo
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, ASP.NET, Next.js, Symfony, Couchbase, MariaDB, Prometheus, Confluence","['Python', 'ASP.NET', 'Next.js', 'Symfony', 'Couchbase', 'MariaDB', 'Prometheus', 'Confluence']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
IT Project Manager Lead,JavaPros,Barcelona,17/05/2025,Freelance,Parcial (mañanas),51000 - 76000 € Bruto/año,51000.0,76000.0,8-12 años,Lead,"¿Buscas un nuevo desafío profesional? Necesitamos un Lead ingeniero/a con experiencia en R, Vue.js, Ruby on Rails para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 8-12 años con R
- Conocimientos de Vue.js
- Conocimientos de Ruby on Rails
- Conocimientos de SQL Server
- Comunicación
- Resiliencia
- Empatía


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Vue.js, Ruby on Rails, SQL Server, Git","['R', 'Vue.js', 'Ruby on Rails', 'SQL Server', 'Git']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Desarrollador/a R Junior,ZenithCode,Las Palmas,02/05/2025,Prácticas,Completa,20000 - 27000 € Bruto/año,20000.0,27000.0,0-2 años,Junior,"¿Buscas un nuevo desafío profesional? Necesitamos un Junior ingeniero/a con experiencia en R, PyTorch, Django para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 0-2 años con R
- Conocimientos de PyTorch
- Conocimientos de Django
- Conocimientos de Cassandra
- Gestión del tiempo
- Creatividad
- Capacidad analítica


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, PyTorch, Django, Cassandra, MongoDB, Docker, GitHub Actions","['R', 'PyTorch', 'Django', 'Cassandra', 'MongoDB', 'Docker', 'GitHub Actions']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Ingeniero/a de Software Senior,TensorMinds,Málaga,14/05/2025,Formativo,Intensiva,40000 - 59000 € Bruto/año,40000.0,59000.0,4-8 años,Senior,"Buscamos un Senior desarrollador/a con experiencia en Kotlin, Flask, PostgreSQL para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 4-8 años con Kotlin
- Conocimientos de Flask
- Conocimientos de PostgreSQL
- Conocimientos de Confluence
- Adaptabilidad
- Creatividad
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, Flask, PostgreSQL, Confluence, Azure","['Kotlin', 'Flask', 'PostgreSQL', 'Confluence', 'Azure']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Backend Developer Semisenior,PixelWave,Híbrido (Madrid),21/04/2025,Indefinido,Flexible,27000 - 38000 € Bruto/año,27000.0,38000.0,2-4 años,Semisenior,"Buscamos un Semisenior desarrollador/a con experiencia en R, Spring Boot, Flask para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 2-4 años con R
- Conocimientos de Spring Boot
- Conocimientos de Flask
- Conocimientos de PyTorch
- Comunicación
- Resolución de problemas
- Empatía


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Spring Boot, Flask, PyTorch, PostgreSQL, ELK Stack, Grafana, Jira","['R', 'Spring Boot', 'Flask', 'PyTorch', 'PostgreSQL', 'ELK Stack', 'Grafana', 'Jira']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Frontend Developer Staff,CodeCraft,Remoto,14/05/2025,Temporal con posibilidad de indefinido,Flexible,66000 - 85000 € Bruto/año,66000.0,85000.0,10-15 años,Staff,"¿Buscas un nuevo desafío profesional? Necesitamos un Staff ingeniero/a con experiencia en Kotlin, Express.js, Spring Boot para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 10-15 años con Kotlin
- Conocimientos de Express.js
- Conocimientos de Spring Boot
- Conocimientos de FastAPI
- Resiliencia
- Scrum
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, Express.js, Spring Boot, FastAPI, Redis, Docker, Google Cloud","['Kotlin', 'Express.js', 'Spring Boot', 'FastAPI', 'Redis', 'Docker', 'Google Cloud']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Scrum Master Senior,UXPioneer,Remoto (Europa),25/04/2025,Temporal,Flexible,38000 - 61000 € Bruto/año,38000.0,61000.0,4-8 años,Senior,"¿Buscas un nuevo desafío profesional? Necesitamos un Senior ingeniero/a con experiencia en C#, Angular, FastAPI para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 4-8 años con C#
- Conocimientos de Angular
- Conocimientos de FastAPI
- Conocimientos de Cassandra
- Trabajo en equipo
- Metodologías ágiles
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C#, Angular, FastAPI, Cassandra, Terraform","['C#', 'Angular', 'FastAPI', 'Cassandra', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Machine Learning Engineer Principal,TechSolutions,Madrid,12/05/2025,Indefinido,Por horas,81000 - 119000 € Bruto/año,81000.0,119000.0,15+ años,Principal,"Se precisa Principal desarrollador/a con sólidos conocimientos en Rust, Spring Boot, Pandas para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 15+ años con Rust
- Conocimientos de Spring Boot
- Conocimientos de Pandas
- Conocimientos de Express.js
- Pensamiento crítico
- Creatividad
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, Spring Boot, Pandas, Express.js, BigQuery, Terraform, Jira, SonarQube","['Rust', 'Spring Boot', 'Pandas', 'Express.js', 'BigQuery', 'Terraform', 'Jira', 'SonarQube']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
QA Engineer Principal,FutureCode,Híbrido (Barcelona),21/04/2025,Temporal con posibilidad de indefinido,Intensiva,80000 - 120000 € Bruto/año,80000.0,120000.0,15+ años,Principal,"Se precisa Principal desarrollador/a con sólidos conocimientos en Swift, FastAPI, Vue.js para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 15+ años con Swift
- Conocimientos de FastAPI
- Conocimientos de Vue.js
- Conocimientos de MySQL
- Adaptabilidad
- Capacidad analítica
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Swift, FastAPI, Vue.js, MySQL, Git","['Swift', 'FastAPI', 'Vue.js', 'MySQL', 'Git']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Machine Learning Engineer Principal,IntelliSoft,Híbrido (Barcelona),18/04/2025,Formativo,Turnos rotativos,79000 - 119000 € Bruto/año,79000.0,119000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de Rust, FastAPI, PostgreSQL para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con Rust
- Conocimientos de FastAPI
- Conocimientos de PostgreSQL
- Conocimientos de GitHub Actions
- Creatividad
- Resiliencia
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, FastAPI, PostgreSQL, GitHub Actions, Git, Docker","['Rust', 'FastAPI', 'PostgreSQL', 'GitHub Actions', 'Git', 'Docker']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Data Engineer Semisenior,TensorMinds,Híbrido (Valencia),18/04/2025,Prácticas,Por horas,27000 - 38000 € Bruto/año,27000.0,38000.0,2-4 años,Semisenior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Semisenior especialista en JavaScript, Laravel, Flutter. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 2-4 años con JavaScript
- Conocimientos de Laravel
- Conocimientos de Flutter
- Conocimientos de React
- Kanban
- Trabajo en equipo
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, Laravel, Flutter, React, SQLite, MariaDB, ELK Stack, AWS","['JavaScript', 'Laravel', 'Flutter', 'React', 'SQLite', 'MariaDB', 'ELK Stack', 'AWS']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
UX/UI Designer Semisenior,DataMind,Barcelona,26/04/2025,Indefinido,Parcial (tardes),28000 - 36000 € Bruto/año,28000.0,36000.0,2-4 años,Semisenior,"Empresa líder en el sector tecnológico busca Semisenior programador/a con conocimientos de Java, ASP.NET, Flutter para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 2-4 años con Java
- Conocimientos de ASP.NET
- Conocimientos de Flutter
- Conocimientos de Snowflake
- Resolución de problemas
- Creatividad
- Resiliencia


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, ASP.NET, Flutter, Snowflake, Confluence, AWS","['Java', 'ASP.NET', 'Flutter', 'Snowflake', 'Confluence', 'AWS']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Arquitecto/a de Software Principal,ElectronMinds,Híbrido (Valencia),17/05/2025,Temporal con posibilidad de indefinido,Completa,82000 - 119000 € Bruto/año,82000.0,119000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de TypeScript, Spring Boot, Django para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con TypeScript
- Conocimientos de Spring Boot
- Conocimientos de Django
- Conocimientos de MariaDB
- Adaptabilidad
- Gestión del tiempo
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Spring Boot, Django, MariaDB, Jira, Kubernetes","['TypeScript', 'Spring Boot', 'Django', 'MariaDB', 'Jira', 'Kubernetes']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Scrum Master Semisenior,UXPioneer,Remoto,10/05/2025,Temporal con posibilidad de indefinido,Por horas,30000 - 36000 € Bruto/año,30000.0,36000.0,2-4 años,Semisenior,"Se precisa Semisenior desarrollador/a con sólidos conocimientos en R, Flask, SQL Server para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 2-4 años con R
- Conocimientos de Flask
- Conocimientos de SQL Server
- Conocimientos de AWS
- Adaptabilidad
- Creatividad
- Metodologías ágiles


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Flask, SQL Server, AWS, Grafana, Jira","['R', 'Flask', 'SQL Server', 'AWS', 'Grafana', 'Jira']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Machine Learning Engineer Staff,NetArchitects,Híbrido (Madrid),21/04/2025,Temporal,Flexible,63000 - 84000 € Bruto/año,63000.0,84000.0,10-15 años,Staff,"Se precisa Staff desarrollador/a con sólidos conocimientos en Go, Vue.js, Flask para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 10-15 años con Go
- Conocimientos de Vue.js
- Conocimientos de Flask
- Conocimientos de Angular
- Creatividad
- Scrum
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Vue.js, Flask, Angular, Redis, Google Cloud","['Go', 'Vue.js', 'Flask', 'Angular', 'Redis', 'Google Cloud']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Ingeniero/a DevOps Principal,ReactMasters,Barcelona,16/05/2025,Prácticas,Intensiva,80000 - 121000 € Bruto/año,80000.0,121000.0,15+ años,Principal,"¿Te apasiona la tecnología? Únete a nuestro equipo como Principal especialista en C++, TensorFlow, Symfony. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 15+ años con C++
- Conocimientos de TensorFlow
- Conocimientos de Symfony
- Conocimientos de DynamoDB
- Kanban
- Gestión del tiempo
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, TensorFlow, Symfony, DynamoDB, Grafana, Google Cloud, Terraform","['C++', 'TensorFlow', 'Symfony', 'DynamoDB', 'Grafana', 'Google Cloud', 'Terraform']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Network Engineer Principal,ZenithCode,Híbrido (Valencia),08/05/2025,Mercantil,Por horas,78000 - 121000 € Bruto/año,78000.0,121000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de Dart, Symfony, Vue.js para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con Dart
- Conocimientos de Symfony
- Conocimientos de Vue.js
- Conocimientos de Pandas
- Kanban
- Empatía
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Dart, Symfony, Vue.js, Pandas, Oracle, Kubernetes","['Dart', 'Symfony', 'Vue.js', 'Pandas', 'Oracle', 'Kubernetes']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
IT Project Manager Senior,KernelLabs,Málaga,28/04/2025,Temporal con posibilidad de indefinido,Parcial (mañanas),38000 - 61000 € Bruto/año,38000.0,61000.0,4-8 años,Senior,"Buscamos un Senior desarrollador/a con experiencia en Go, Laravel, PostgreSQL para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 4-8 años con Go
- Conocimientos de Laravel
- Conocimientos de PostgreSQL
- Conocimientos de Neo4j
- Orientación a resultados
- Empatía
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Laravel, PostgreSQL, Neo4j, Terraform","['Go', 'Laravel', 'PostgreSQL', 'Neo4j', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Machine Learning Engineer Semisenior,VirtualVision,Sevilla,12/05/2025,Temporal,Por horas,26000 - 37000 € Bruto/año,26000.0,37000.0,2-4 años,Semisenior,"Buscamos un Semisenior desarrollador/a con experiencia en Go, ASP.NET, Spring Boot para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 2-4 años con Go
- Conocimientos de ASP.NET
- Conocimientos de Spring Boot
- Conocimientos de Elasticsearch
- Capacidad analítica
- Resolución de problemas
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, ASP.NET, Spring Boot, Elasticsearch, Jenkins","['Go', 'ASP.NET', 'Spring Boot', 'Elasticsearch', 'Jenkins']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Full Stack Developer Principal,TechSolutions,Híbrido (Valencia),15/05/2025,Temporal con posibilidad de indefinido,Fin de semana,81000 - 120000 € Bruto/año,81000.0,120000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en Rust, Express.js, Redis para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con Rust
- Conocimientos de Express.js
- Conocimientos de Redis
- Conocimientos de Git
- Liderazgo
- Trabajo en equipo
- Creatividad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, Express.js, Redis, Git, Jira","['Rust', 'Express.js', 'Redis', 'Git', 'Jira']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
UX/UI Designer Principal,IntelliSoft,Sevilla,01/05/2025,Temporal con posibilidad de indefinido,Fin de semana,80000 - 122000 € Bruto/año,80000.0,122000.0,15+ años,Principal,"¿Buscas un nuevo desafío profesional? Necesitamos un Principal ingeniero/a con experiencia en Java, ASP.NET, Cassandra para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 15+ años con Java
- Conocimientos de ASP.NET
- Conocimientos de Cassandra
- Conocimientos de DynamoDB
- Trabajo en equipo
- Comunicación
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, ASP.NET, Cassandra, DynamoDB, Azure","['Java', 'ASP.NET', 'Cassandra', 'DynamoDB', 'Azure']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Systems Administrator Junior,KernelLabs,Zaragoza,01/05/2025,Freelance,Flexible,19000 - 29000 € Bruto/año,19000.0,29000.0,0-2 años,Junior,"¿Buscas un nuevo desafío profesional? Necesitamos un Junior ingeniero/a con experiencia en TypeScript, Flutter, MySQL para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 0-2 años con TypeScript
- Conocimientos de Flutter
- Conocimientos de MySQL
- Conocimientos de Jenkins
- Creatividad
- Scrum
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Flutter, MySQL, Jenkins","['TypeScript', 'Flutter', 'MySQL', 'Jenkins']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Product Manager Lead,KernelLabs,Málaga,18/05/2025,Mercantil,Fin de semana,50000 - 75000 € Bruto/año,50000.0,75000.0,8-12 años,Lead,"¿Buscas un nuevo desafío profesional? Necesitamos un Lead ingeniero/a con experiencia en Ruby, TensorFlow, ASP.NET para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 8-12 años con Ruby
- Conocimientos de TensorFlow
- Conocimientos de ASP.NET
- Conocimientos de Flutter
- Orientación a resultados
- Gestión del tiempo
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, TensorFlow, ASP.NET, Flutter, Cassandra, PostgreSQL, Jira, GitHub Actions","['Ruby', 'TensorFlow', 'ASP.NET', 'Flutter', 'Cassandra', 'PostgreSQL', 'Jira', 'GitHub Actions']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
IT Project Manager Principal,TensorMinds,Madrid,11/05/2025,Formativo,Fin de semana,79000 - 120000 € Bruto/año,79000.0,120000.0,15+ años,Principal,"¿Buscas un nuevo desafío profesional? Necesitamos un Principal ingeniero/a con experiencia en Java, FastAPI, Flask para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 15+ años con Java
- Conocimientos de FastAPI
- Conocimientos de Flask
- Conocimientos de TensorFlow
- Kanban
- Empatía
- Liderazgo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, FastAPI, Flask, TensorFlow, Cassandra, MySQL, Google Cloud, Terraform","['Java', 'FastAPI', 'Flask', 'TensorFlow', 'Cassandra', 'MySQL', 'Google Cloud', 'Terraform']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Systems Administrator Semisenior,ReactMasters,Remoto (España),08/05/2025,Temporal con posibilidad de indefinido,Completa,27000 - 39000 € Bruto/año,27000.0,39000.0,2-4 años,Semisenior,"Empresa líder en el sector tecnológico busca Semisenior programador/a con conocimientos de JavaScript, React, MySQL para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 2-4 años con JavaScript
- Conocimientos de React
- Conocimientos de MySQL
- Conocimientos de DynamoDB
- Scrum
- Orientación a resultados
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, React, MySQL, DynamoDB, Grafana","['JavaScript', 'React', 'MySQL', 'DynamoDB', 'Grafana']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
QA Engineer Principal,SecureTech,Alicante,11/05/2025,Indefinido,Por horas,81000 - 119000 € Bruto/año,81000.0,119000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de Python, Symfony, Angular para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con Python
- Conocimientos de Symfony
- Conocimientos de Angular
- Conocimientos de Express.js
- Comunicación
- Scrum
- Liderazgo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, Symfony, Angular, Express.js, SQL Server, Redis, Git, Docker","['Python', 'Symfony', 'Angular', 'Express.js', 'SQL Server', 'Redis', 'Git', 'Docker']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Machine Learning Engineer Principal,QuantumSystems,Remoto (Europa),07/05/2025,Formativo,Por horas,82000 - 121000 € Bruto/año,82000.0,121000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en JavaScript, Laravel, Snowflake para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con JavaScript
- Conocimientos de Laravel
- Conocimientos de Snowflake
- Conocimientos de PostgreSQL
- Scrum
- Resolución de problemas
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, Laravel, Snowflake, PostgreSQL, GitHub Actions, Jenkins, Ansible","['JavaScript', 'Laravel', 'Snowflake', 'PostgreSQL', 'GitHub Actions', 'Jenkins', 'Ansible']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
